poiId,poiName,place,commentCount,commentScore,sightLevelStr,heatScore,sightCategoryInfo,title,priceType,marketPrice,marketDiscountPrice,price,address,openStatusClose,openStatus,coverImageUrl
75595,故宫博物院,北京·天安门/王府井地区,127222,4.8,5A,10,2024亚洲100必打卡景点,"穿越明清两朝的皇家宫殿群,展馆展览,遛娃宝藏地",3,￥40.0,￥0,￥0,北京市东城区景山前街4号,08:30-16:30开放（15:30停止入园）,营业中,https://dimg04.c-ctrip.com/images/0100j1200046x94ebB936.jpg
75611,外滩,上海·外滩核心区,134844,4.8,,10,2024亚洲100必打卡景点,"欣赏万国建筑和浦江美景,遛娃宝藏地,城市漫步",4,免费,￥0,免费,上海市黄浦区中山东一路北至外白渡桥、南至十六铺码头,全年全天开放,营业中,https://dimg04.c-ctrip.com/images/10040m000000dht6p0F19.jpg
10558849,香港迪士尼乐园,香港·香港迪士尼乐园度假区,35145,4.7,,10,2024亚洲100必打卡景点,"置身奇妙的迪士尼世界,嗨玩乐园,遛娃宝藏地",2,￥625.0,￥96.0,￥529.0,香港大屿山香港迪士尼乐园度假区,10:00-20:30开放,营业中,https://dimg04.c-ctrip.com/images/1lo4m12000im6h7jc4469.jpg
82922,西湖风景名胜区,杭州·西湖风景区/灵隐度假区,14342,4.7,5A,10,2024中国100必打卡景点,"杭州之美的代言人,遛娃宝藏地,赏花胜地",4,免费,￥0,免费,浙江省杭州市西湖区龙井路1号,全年全天开放,营业中,https://dimg04.c-ctrip.com/images/0100312000iznjmym62D5.jpg
13412802,上海迪士尼度假区,上海·迪士尼度假区,174916,4.7,,10,2024亚洲100必打卡景点,"充满欢乐童真的梦幻乐园,嗨玩乐园,遛娃宝藏地",2,￥475.0,￥76.0,￥399.0,上海市浦东新区川沙新镇黄赵路310号,08:30-21:30开放,营业中,https://dimg04.c-ctrip.com/images/1lo4f12000iudih1251F7.jpg
31677717,北京环球度假区,北京·环球影城度假区及周边,34996,4.5,,10,2024亚洲100必打卡景点,"大片世界，在此成真,嗨玩乐园,遛娃宝藏地",2,￥418.0,￥61.81,￥356.19,北京市通州区京哈高速与东六环路交汇处西北角,09:00-20:00开放,营业中,https://dimg04.c-ctrip.com/images/1lo2n12000iv5e8ag170B.jpg
75596,八达岭长城,北京·延庆休闲度假区,37706,4.7,5A,10,2024亚洲100必打卡景点,"不到长城非好汉,历史建筑,夜游观景",2,￥35.0,￥0,￥35.0,北京市延庆区G6京藏高速58号出口,07:30-16:00开放,营业中,https://dimg04.c-ctrip.com/images/100o0p000000fz1s4D82D.jpg
80633,哈尔滨冰雪大世界,哈尔滨·冰雪大世界/太阳岛,16244,4.4,,9.9,2024亚洲100必打卡景点,"亮灯后晶莹的冰雕更加梦幻,冰雪主题嘉年华,嗨玩乐园,遛娃宝藏地",2,￥268.0,￥5.0,￥263.0,黑龙江省哈尔滨市松北区松北大道西侧,10:00-21:30开放（20:30停止售票，21:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/1lo3r12000irszr11A407.jpg
89895,九寨沟风景区,九寨沟·,25535,4.7,5A,9.8,2024亚洲100必打卡景点,"九寨归来不看水,人间仙境,童话世界,遛娃宝藏地,自然山水",2,￥160.0,￥0,￥160.0,阿坝藏族羌族自治州九寨沟县漳扎镇301省道,08:30-17:00开放（14:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/0100312000izp8ijoE690.jpg
75682,秦始皇帝陵博物院(兵马俑),西安·兵马俑/华清宫旅游区,88954,4.7,5A,9.7,2024亚洲100必打卡景点,"秦始皇的地下御林军,历史建筑,博物馆",2,￥120.0,￥0,￥120.0,西安市临潼区秦陵北路,08:30-18:30开放（17:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/0104012000f6rbl4996B9.jpg
91796,峨眉山,峨眉山·清音阁/万年寺,63137,4.8,5A,9.5,2024亚洲100必打卡景点,"遛娃宝藏地,赏花胜地",2,￥160.0,￥0,￥160.0,四川省乐山市峨眉山市黄湾镇,07:00-16:00开放,营业中,https://dimg04.c-ctrip.com/images/100i10000000o0q8v2A65.jpg
76342,成都大熊猫繁育研究基地,成都·熊猫基地/西部战区总医院,70973,4.5,4A,9.5,2024亚洲100必打卡景点,"萌哒哒的国宝在等你,萌萌动物,遛娃宝藏地",2,￥55.0,￥0,￥55.0,成都市成华区外北熊猫大道1375号,07:30-12:00开放（12:00停止售票，12:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/0105p12000f6scno87BC5.jpg
40035962,三亚亚特兰蒂斯度假区,三亚·海棠湾/三亚免税店/后海,3321,4.7,4A,9.4,2024亚洲100必打卡景点,"感受与鲨鱼擦身而过的震撼,度假村,遛娃宝藏地",4,免费,￥0,免费,海南三亚市海棠区海棠湾海棠北路36号,全年全天开放,营业中,https://dimg04.c-ctrip.com/images/0100r12000f6tbgy71A1D.jpg
44775645,三亚亚特兰蒂斯水世界,三亚·海棠湾/三亚免税店/后海,36751,4.9,,9.4,2024亚洲100亲子景点,"挑战海神之跃滑道,遛娃宝藏地,水乐园",2,￥298.0,￥100.0,￥198.0,海南省三亚市海棠区海棠北路与风塘路交叉路口往东约200米,10:00-18:00开放（17:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/1lo3n12000eoy83mq39BA.jpg
10558650,天门山国家森林公园,张家界·天门山索道/天门山森林公园,24957,4.6,5A,9.4,2024亚洲100必打卡景点,"乘观光索道游悬崖深谷,遛娃宝藏地,赏花胜地",2,￥278.0,￥0,￥278.0,张家界市永定区大庸路天门山索道公司下站,08:00-18:00开放,营业中,https://dimg04.c-ctrip.com/images/0102b1200097d2tbd51FB.jpg
10558614,蜈支洲岛,三亚·蜈支洲岛,36882,4.6,5A,9.4,2024亚洲100必打卡景点,"浪漫的潜水度假胜地,遛娃宝藏地,岛屿漫步",2,￥144.0,￥4.0,￥140.0,三亚市海棠区海棠湾镇蜈支洲岛,08:00-18:30开放（16:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/01006120008r0zknw4B04.jpg
76896,长隆野生动物世界,广州·番禺长隆/广州南站附近,49230,4.7,,9.3,2024亚洲100亲子景点,"《爸爸去哪儿》拍摄地,萌萌动物,遛娃宝藏地",2,￥300.0,￥0,￥300.0,广东省广州市番禺区汉溪大道东299号,09:30-18:00开放,营业中,https://dimg04.c-ctrip.com/images/100b1f000001gsobq9CAE.jpg
10559608,广州长隆度假区,广州·番禺长隆/广州南站附近,2952,4.7,5A,9.3,2024亚洲100必打卡景点,"家庭出游畅玩多个主题园区,度假村,嗨玩乐园",5,暂无,￥0,暂无,广东省广州市番禺区汉溪大道东299号,全年全天开放,营业中,https://dimg04.c-ctrip.com/images/0102212000f6tvovl4925.jpg
104144785,望仙谷,上饶·望仙谷景区,12500,4.7,4A,9.3,2024中国100必打卡景点,"遛娃宝藏地,踏青必去",2,￥140.0,￥0,￥140.0,江西省上饶市广信区望仙乡636县道,09:30-23:00开放（20:30停止售票，21:00停止入园）,23:00闭园,https://dimg04.c-ctrip.com/images/1lo5i12000j4isiihA0DE.jpg
76447,都江堰景区,都江堰·都江堰景区及周边,31099,4.7,5A,9.3,2024亚洲100必打卡景点,"延续两千年的水利工程,遛娃宝藏地,历史建筑",2,￥80.0,￥0,￥80.0,成都市都江堰市公园路,08:00-18:00开放（17:30停止售票，18:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/100g0z000000nd29yD334.jpg
82720,三星堆博物馆,广汉·,11176,4.5,4A,9.2,2024亚洲100必打卡景点,"古蜀文化遗址,展馆展览,遛娃宝藏地",5,暂无,￥0,暂无,德阳市广汉市西安路133号,08:30-18:00开放（17:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/0104o12000h0jx9pr937E.jpg
75681,华清宫,西安·兵马俑/华清宫旅游区,14008,4.5,5A,9.2,西安近期热门景点榜 No.2,"唐玄宗和杨贵妃的共浴之地,展馆展览,遛娃宝藏地",2,￥120.0,￥0,￥120.0,陕西省西安市临潼区华清路38号,07:30-18:40开放（18:00停止售票，18:10停止入园）,营业中,https://dimg04.c-ctrip.com/images/100510000000o6ke620CB.jpg
10758966,《长恨歌》演出,西安·兵马俑/华清宫旅游区,14585,4.5,,9.2,2024亚洲100必打卡景点,"杨贵妃与唐明皇的千古爱情,遛娃宝藏地,演出",2,￥269.0,￥0,￥269.0,陕西省西安市临潼区华清路38号,19:40-23:59开放,23:59闭园,https://dimg04.c-ctrip.com/images/3508170000011x8fd5D08.jpg
10559092,张家界国家森林公园,张家界·张家界国家森林公园/武陵源,19319,4.5,5A,9.2,2024亚洲100必打卡景点,"奇峰三千 秀水八百,遛娃宝藏地,踏青必去",2,￥227.0,￥0,￥227.0,张家界市武陵源区金鞭路279号,07:00-17:00开放（17:00停止售票，17:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/100f12000000sdjk60D61.jpg
87869,黄山风景区,黄山·黄山山顶,37091,4.8,5A,9.1,2024亚洲100必打卡景点,"观奇松怪石云海日出冬雪,遛娃宝藏地,历史建筑",2,￥190.0,￥0,￥190.0,安徽省黄山市黄山区205国道,07:00-17:10开放,营业中,https://dimg04.c-ctrip.com/images/100q0z000000nm6w7F15F.jpg
79814,黄果树瀑布,镇宁·黄果树瀑布,26292,4.5,5A,9.1,2024亚洲100必打卡景点,"86版《西游记》取景地,遛娃宝藏地,自然山水",2,￥260.0,￥0,￥260.0,贵州省镇宁布依族苗族自治县黄果树镇贵黄公路(黄果树风景名胜区),19:30-21:30开放,营业中,https://dimg04.c-ctrip.com/images/100913000000tgynfD431.jpg
77498,龙门石窟,洛阳·高铁龙门站/市政府新区,34098,4.7,5A,9.1,2024亚洲100必打卡景点,"中国四大石窟之一,遛娃宝藏地,历史建筑",3,￥90.0,￥0,￥0,河南省洛阳市洛龙区龙门中街13号,08:00-19:00开放（17:30停止售票，18:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/0102c12000f6sd1co8E56.png
10558668,涠洲岛,北海·涠洲岛北岸/贝壳沙滩,12551,4.3,,9.1,2024亚洲100必打卡景点,"观熔岩奇观享海岛慢生活,遛娃宝藏地,岛屿漫步",2,￥98.0,￥0,￥98.0,广西壮族自治区北海市海城区,08:00-17:30开放,营业中,https://dimg04.c-ctrip.com/images/01020120004gdmn9m7016.jpg
75919,玉龙雪山,玉龙·,8891,4.5,5A,9.1,2024亚洲100必打卡景点,"近距离观看壮丽冰川,遛娃宝藏地,登高爬山",5,暂无,￥0,暂无,云南省丽江市玉龙纳西族自治县雪花村,07:30-16:30开放,营业中,https://dimg04.c-ctrip.com/images/0106s120009lagj5n461E.jpg
89388,亚龙湾热带天堂森林公园,三亚·亚龙湾/热带天堂森林公园/博后村,29557,4.5,4A,9.1,2024亚洲100必打卡景点,"电影《非诚勿扰2》取景地,遛娃宝藏地,赏花胜地",2,￥158.0,￥10.0,￥148.0,三亚市亚龙湾区湾路665号亚龙湾国家旅游度假区,08:00-18:00开放（17:30停止售票）,营业中,https://dimg04.c-ctrip.com/images/1lo2512000huodrt11EE4.jpg
87207,中国国家博物馆,北京·天安门/王府井地区,2481,,,9.0,2024亚洲100必打卡景点,"穿越千年看中华珍宝,展馆展览,遛娃宝藏地",1,免费预约,无,免费预约,北京市东城区东长安街16号,09:00-17:00开放（16:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/0102y12000hxkc5n61AF4.jpg
75686,西安城墙,西安·钟鼓楼/西安古城,42131,4.6,5A,9.0,2024亚洲100必打卡景点,"十三朝古都的历史见证,遛娃宝藏地,历史建筑",2,￥54.0,￥9.0,￥45.0,陕西省西安市碑林区南大街2号,08:00-23:00开放（23:00停止售票，23:00停止入园）,23:00闭园,https://dimg04.c-ctrip.com/images/0100f120005q6fsy8B56A.jpg
77487,德天跨国瀑布景区,大新·德天瀑布/硕龙镇,14716,4.8,5A,9.0,2024中国100必打卡景点,"横跨中越的瀑布群,遛娃宝藏地,自然山水",2,￥115.0,￥5.0,￥110.0,广西壮族自治区崇左市大新县硕龙镇德天村,07:30-18:30开放（17:00停止售票，17:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/100c0y000000m137u1E1F.jpg
77593,黄鹤楼,武汉·黄鹤楼/粮道街/武昌火车站,46315,4.6,5A,9.0,2024亚洲100必打卡景点,"诗词绝句中的江南名楼,遛娃宝藏地,历史建筑",2,￥70.0,￥5.0,￥65.0,武汉市武昌区蛇山西山坡特1号,"08:30-18:00,19:30-22:00开放",营业中,https://dimg04.c-ctrip.com/images/1lo3k12000dfdqf7dB871.jpg
10558616,香港海洋公园,香港·南区,18172,4.6,,9.0,2024亚洲100必打卡景点,"遛娃宝藏地,游乐场",2,￥465.0,￥46.0,￥419.0,香港仔黄竹坑道一百八十号,10:00-19:00开放,营业中,https://dimg04.c-ctrip.com/images/1lo3s12000ig24kd42F08.jpg
98212,华山,华阴·,33080,4.7,5A,9.0,2024亚洲100必打卡景点,"以奇险出名的五岳之一,遛娃宝藏地,踏青必去",5,暂无,￥0,暂无,陕西省渭南市华阴市华山镇集灵路与华山路交叉口东南1000米,全年全天开放,营业中,https://dimg04.c-ctrip.com/images/100s0u000000j3fyv47C7.jpg
10762535,珠海长隆海洋王国,珠海·长隆旅游度假区,31839,4.7,,9.0,2024亚洲100亲子景点,"亚洲首台水上过山车,嗨玩乐园,遛娃宝藏地",2,￥395.0,￥0,￥395.0,广东省珠海市横琴新区富祥湾长隆旅游度假区内,10:00-20:00开放,营业中,https://dimg04.c-ctrip.com/images/0105t120005or7v5sB9D4.jpg
76340,杜甫草堂,成都·杜甫草堂/省人民医院,21219,4.6,4A,9.0,2024亚洲100必打卡景点,"访杜甫旧居 品文化圣地,遛娃宝藏地,历史建筑",2,￥50.0,￥0,￥50.0,四川省成都市青羊区青华路37号,09:00-18:00开放（17:00停止入园）,营业中,https://dimg04.c-ctrip.com/images/0104712000f6pqdbe0C80.jpg
80846,梵净山,江口·,10171,4.4,5A,9.0,2024中国100必打卡景点,"佛教和避暑名山,登高爬山",2,￥130.0,￥18.0,￥112.0,贵州省铜仁市江口县黑湾河,08:00-15:00开放,营业中,https://dimg04.c-ctrip.com/images/1A0k1d000001ep6lw0E31.jpg
10558942,西岛,三亚·三亚湾/凤凰机场/西岛,9419,4.5,4A,8.9,2024亚洲100必打卡景点,"海上休闲娱乐运动胜地,遛娃宝藏地,岛屿漫步",2,￥98.0,￥3.0,￥95.0,海南省三亚市天涯区肖旗港码头,08:00-17:30开放,营业中,https://dimg04.c-ctrip.com/images/350w1a0000019y9wb8250.jpg
76613,恭王府,北京·后海/南锣鼓巷地区,20138,4.7,5A,8.9,2024亚洲100必打卡景点,"旧时清朝大臣和珅的府邸,历史建筑",2,￥40.0,￥0,￥40.0,北京市西城区前海西街17号,08:30-17:00开放,营业中,https://dimg04.c-ctrip.com/images/010261200087dxb2445A6.jpg
90599,荔波小七孔景区,荔波·,16383,4.7,,8.9,2024亚洲100必打卡景点,"世界遗产中国喀斯特,遛娃宝藏地,登高爬山",2,￥120.0,￥0,￥120.0,贵州省黔南布依族苗族自治州荔波县206省道,08:00-17:00开放（16:00停止售票，16:30停止入园）,营业中,https://dimg04.c-ctrip.com/images/0101312000izs6jhs5BAF.jpg
